Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058
SVM,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235
Decision Tree,0.8032786885245902,0.8181818181818182,0.8181818181818182,0.8181818181818182
Random Forest,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746
KNN,0.7868852459016393,0.7777777777777778,0.8484848484848485,0.8115942028985508
